,project,fuzzer,run,edges_found,hour
505,bloaty,AFLPP+CD,001,7269,2
506,bloaty,AFLPP+CD,001,7674,3
507,bloaty,AFLPP+CD,001,7785,4
508,bloaty,AFLPP+CD,001,7877,5
509,bloaty,AFLPP+CD,001,7913,6
510,bloaty,AFLPP+CD,001,7957,7
511,bloaty,AFLPP+CD,001,8015,8
512,bloaty,AFLPP+CD,001,8030,9
513,bloaty,AFLPP+CD,001,8051,10
514,bloaty,AFLPP+CD,001,8075,11
515,bloaty,AFLPP+CD,001,8095,12
516,bloaty,AFLPP+CD,001,8107,13
517,bloaty,AFLPP+CD,001,8114,14
518,bloaty,AFLPP+CD,001,8185,15
519,bloaty,AFLPP+CD,001,8199,16
520,bloaty,AFLPP+CD,001,8208,17
521,bloaty,AFLPP+CD,001,8219,18
522,bloaty,AFLPP+CD,001,8224,19
523,bloaty,AFLPP+CD,001,8229,20
524,bloaty,AFLPP+CD,001,8234,21
525,bloaty,AFLPP+CD,001,8244,22
526,bloaty,AFLPP+CD,001,8255,23
527,bloaty,AFLPP+CD,001,8265,24
528,bloaty,AFLPP+CD,002,7172,1
529,bloaty,AFLPP+CD,002,7250,2
530,bloaty,AFLPP+CD,002,7479,3
531,bloaty,AFLPP+CD,002,7546,4
532,bloaty,AFLPP+CD,002,7796,5
533,bloaty,AFLPP+CD,002,7898,6
534,bloaty,AFLPP+CD,002,7935,7
535,bloaty,AFLPP+CD,002,7972,8
536,bloaty,AFLPP+CD,002,8016,9
537,bloaty,AFLPP+CD,002,8047,10
538,bloaty,AFLPP+CD,002,8073,11
539,bloaty,AFLPP+CD,002,8099,12
540,bloaty,AFLPP+CD,002,8158,13
541,bloaty,AFLPP+CD,002,8175,14
542,bloaty,AFLPP+CD,002,8283,15
543,bloaty,AFLPP+CD,002,8320,16
544,bloaty,AFLPP+CD,002,8326,17
545,bloaty,AFLPP+CD,002,8444,18
546,bloaty,AFLPP+CD,002,8448,19
547,bloaty,AFLPP+CD,002,8476,20
548,bloaty,AFLPP+CD,002,8482,21
549,bloaty,AFLPP+CD,002,8485,22
550,bloaty,AFLPP+CD,002,8485,23
551,bloaty,AFLPP+CD,002,8502,24
552,bloaty,AFLPP+CD,003,7208,1
553,bloaty,AFLPP+CD,003,7339,2
554,bloaty,AFLPP+CD,003,7529,3
555,bloaty,AFLPP+CD,003,7710,4
556,bloaty,AFLPP+CD,003,7810,5
557,bloaty,AFLPP+CD,003,7838,6
558,bloaty,AFLPP+CD,003,7860,7
559,bloaty,AFLPP+CD,003,7865,8
560,bloaty,AFLPP+CD,003,7879,9
561,bloaty,AFLPP+CD,003,7969,10
562,bloaty,AFLPP+CD,003,8049,11
563,bloaty,AFLPP+CD,003,8080,12
564,bloaty,AFLPP+CD,003,8143,13
565,bloaty,AFLPP+CD,003,8152,14
566,bloaty,AFLPP+CD,003,8165,15
567,bloaty,AFLPP+CD,003,8314,16
568,bloaty,AFLPP+CD,003,8422,17
569,bloaty,AFLPP+CD,003,8424,18
570,bloaty,AFLPP+CD,003,8429,19
571,bloaty,AFLPP+CD,003,8442,20
572,bloaty,AFLPP+CD,003,8458,21
573,bloaty,AFLPP+CD,003,8463,22
574,bloaty,AFLPP+CD,003,8467,23
575,bloaty,AFLPP+CD,003,8492,24
576,bloaty,AFLPP+CD,004,7360,1
577,bloaty,AFLPP+CD,004,7615,2
578,bloaty,AFLPP+CD,004,7693,3
579,bloaty,AFLPP+CD,004,7962,4
580,bloaty,AFLPP+CD,004,8067,5
581,bloaty,AFLPP+CD,004,8131,6
582,bloaty,AFLPP+CD,004,8180,7
583,bloaty,AFLPP+CD,004,8246,8
584,bloaty,AFLPP+CD,004,8286,9
585,bloaty,AFLPP+CD,004,8359,10
586,bloaty,AFLPP+CD,004,8391,11
587,bloaty,AFLPP+CD,004,8426,12
588,bloaty,AFLPP+CD,004,8534,13
589,bloaty,AFLPP+CD,004,8635,14
590,bloaty,AFLPP+CD,004,8645,15
591,bloaty,AFLPP+CD,004,8665,16
592,bloaty,AFLPP+CD,004,8667,17
593,bloaty,AFLPP+CD,004,8675,18
