,project,fuzzer,run,nodes_reached,nodes_flipped
446,xmllint,AFLPP+CD,009,3443,1411
447,xmllint,AFLPP+CD,007,3673,1603
448,xmllint,AFLPP+CD,001,3717,1591
449,xmllint,AFLPP+CD,000,3623,1578
450,tiff2pdf,HasteFuzz+CD,004,3123,1403
451,tiff2pdf,HasteFuzz+CD,006,3212,1499
452,tiff2pdf,HasteFuzz+CD,003,3185,1441
453,tiff2pdf,HasteFuzz+CD,002,3237,1475
454,tiff2pdf,HasteFuzz+CD,008,3211,1453
455,tiff2pdf,HasteFuzz+CD,005,3243,1489
456,tiff2pdf,HasteFuzz+CD,009,3182,1434
457,tiff2pdf,HasteFuzz+CD,007,3244,1482
458,tiff2pdf,HasteFuzz+CD,001,3247,1502
459,tiff2pdf,HasteFuzz+CD,000,3248,1496
460,exiv2,AFLPP+C,004,4713,1138
461,exiv2,AFLPP+C,006,4491,1113
462,exiv2,AFLPP+C,003,4667,1128
463,exiv2,AFLPP+C,002,4502,1112
464,exiv2,AFLPP+C,008,3846,896
465,exiv2,AFLPP+C,005,4521,1098
466,exiv2,AFLPP+C,009,4444,1085
467,exiv2,AFLPP+C,007,5091,1247
468,exiv2,AFLPP+C,001,4593,1091
469,exiv2,AFLPP+C,000,3901,968
470,bsdtar,AFLPP,004,1735,799
471,bsdtar,AFLPP,006,1973,964
472,bsdtar,AFLPP,003,1789,818
473,bsdtar,AFLPP,002,1796,844
474,bsdtar,AFLPP,008,1335,528
475,bsdtar,AFLPP,005,1660,734
476,bsdtar,AFLPP,009,1691,759
477,bsdtar,AFLPP,007,1720,775
478,bsdtar,AFLPP,001,1794,810
479,bsdtar,AFLPP,000,1647,724
480,ffmpeg,AFLPP,004,10507,6356
481,ffmpeg,AFLPP,006,9939,5876
482,ffmpeg,AFLPP,003,11452,6838
483,ffmpeg,AFLPP,002,10588,6383
484,ffmpeg,AFLPP,008,10789,6363
485,ffmpeg,AFLPP,005,9753,5905
486,ffmpeg,AFLPP,009,10604,6423
487,ffmpeg,AFLPP,007,8822,5053
488,ffmpeg,AFLPP,001,10814,6524
489,ffmpeg,AFLPP,000,8919,5208
490,strip-new,AFLPP+CD,004,2686,1324
491,strip-new,AFLPP+CD,006,2717,1404
492,strip-new,AFLPP+CD,003,2668,1397
493,strip-new,AFLPP+CD,002,2582,1320
494,strip-new,AFLPP+CD,008,2555,1302
495,strip-new,AFLPP+CD,005,2577,1361
496,strip-new,AFLPP+CD,009,2601,1335
497,strip-new,AFLPP+CD,007,2684,1382
498,strip-new,AFLPP+CD,001,2513,1287
499,strip-new,AFLPP+CD,000,2667,1401
500,xmllint,HasteFuzz+CD,004,3729,1621
501,xmllint,HasteFuzz+CD,006,3681,1617
502,xmllint,HasteFuzz+CD,003,3560,1523
503,xmllint,HasteFuzz+CD,002,3796,1636
504,xmllint,HasteFuzz+CD,008,3721,1629
505,xmllint,HasteFuzz+CD,005,3542,1496
506,xmllint,HasteFuzz+CD,009,3833,1693
507,xmllint,HasteFuzz+CD,007,3655,1603
508,xmllint,HasteFuzz+CD,001,3650,1599
509,xmllint,HasteFuzz+CD,000,3732,1633
510,tiff2ps,HasteFuzz,004,2006,977
511,tiff2ps,HasteFuzz,006,1980,965
512,tiff2ps,HasteFuzz,003,2047,982
513,tiff2ps,HasteFuzz,002,2030,983
514,tiff2ps,HasteFuzz,008,1993,961
515,tiff2ps,HasteFuzz,005,2042,974
516,tiff2ps,HasteFuzz,009,2002,971
517,tiff2ps,HasteFuzz,007,2023,987
518,tiff2ps,HasteFuzz,001,2048,989
519,tiff2ps,HasteFuzz,000,2035,994
520,strip-new,FOX+D,004,3364,1667
521,strip-new,FOX+D,006,3301,1600
522,strip-new,FOX+D,003,2880,1587
523,strip-new,FOX+D,002,3258,1554
524,strip-new,FOX+D,008,3336,1631
525,strip-new,FOX+D,005,3129,1700
526,strip-new,FOX+D,009,3397,1671
527,strip-new,FOX+D,007,3335,1585
528,strip-new,FOX+D,001,2918,1585
529,strip-new,FOX+D,000,3467,1752
530,tiffcrop,FOX+D,004,3800,1962
531,tiffcrop,FOX+D,006,3765,1956
532,tiffcrop,FOX+D,003,3759,1960
533,tiffcrop,FOX+D,002,3760,1955
534,tiffcrop,FOX+D,008,3807,1954
535,tiffcrop,FOX+D,005,3704,1894
536,tiffcrop,FOX+D,009,3809,1968
537,tiffcrop,FOX+D,007,3707,1907
538,tiffcrop,FOX+D,001,3759,1904
539,tiffcrop,FOX+D,000,3819,1960
540,xmllint,FOX+D,004,3727,1672
541,xmllint,FOX+D,006,3860,1708
542,xmllint,FOX+D,003,3781,1688
543,xmllint,FOX+D,002,4009,1806
544,xmllint,FOX+D,008,3831,1716
545,xmllint,FOX+D,005,4008,1831
546,xmllint,FOX+D,009,3999,1821
547,xmllint,FOX+D,007,4074,1865
548,xmllint,FOX+D,001,3743,1662
549,xmllint,FOX+D,000,3905,1731
550,size,FOX,004,1517,796
551,size,FOX,006,1403,714
552,size,FOX,003,1336,728
553,size,FOX,002,1275,686
554,size,FOX,008,1478,785
555,size,FOX,005,1530,819
556,size,FOX,009,1519,792
557,size,FOX,007,1515,788
558,size,FOX,001,1452,762
559,size,FOX,000,1569,837
560,pdftotext,HasteFuzz+C,004,1329,426
561,pdftotext,HasteFuzz+C,006,1365,572
562,pdftotext,HasteFuzz+C,003,1402,436
