,hour,project,fuzzer,run,control_size
379,20,libxslt,cmplog_dict,005,14467.0
380,21,libxslt,cmplog_dict,005,14588.0
381,22,libxslt,cmplog_dict,005,14722.0
382,23,libxslt,cmplog_dict,005,14804.0
383,24,libxslt,cmplog_dict,005,14938.0
384,1,libxslt,cmplog_dict,009,9671.0
385,2,libxslt,cmplog_dict,009,10675.0
386,3,libxslt,cmplog_dict,009,11435.0
387,4,libxslt,cmplog_dict,009,12181.0
388,5,libxslt,cmplog_dict,009,12591.0
389,6,libxslt,cmplog_dict,009,12865.0
390,7,libxslt,cmplog_dict,009,13101.0
391,8,libxslt,cmplog_dict,009,13340.0
392,9,libxslt,cmplog_dict,009,13551.0
393,10,libxslt,cmplog_dict,009,13705.0
394,11,libxslt,cmplog_dict,009,13845.0
395,12,libxslt,cmplog_dict,009,13980.0
396,13,libxslt,cmplog_dict,009,14142.0
397,14,libxslt,cmplog_dict,009,14284.0
398,15,libxslt,cmplog_dict,009,14393.0
399,16,libxslt,cmplog_dict,009,14510.0
400,17,libxslt,cmplog_dict,009,14730.0
401,18,libxslt,cmplog_dict,009,14832.0
402,19,libxslt,cmplog_dict,009,14912.0
403,20,libxslt,cmplog_dict,009,14999.0
404,21,libxslt,cmplog_dict,009,15120.0
405,22,libxslt,cmplog_dict,009,15190.0
406,23,libxslt,cmplog_dict,009,15259.0
407,24,libxslt,cmplog_dict,009,15348.0
408,1,libxslt,cmplog_dict,007,9375.0
409,2,libxslt,cmplog_dict,007,10398.0
410,3,libxslt,cmplog_dict,007,11181.0
411,4,libxslt,cmplog_dict,007,11720.0
412,5,libxslt,cmplog_dict,007,12132.0
413,6,libxslt,cmplog_dict,007,12488.0
414,7,libxslt,cmplog_dict,007,12849.0
415,8,libxslt,cmplog_dict,007,13153.0
416,9,libxslt,cmplog_dict,007,13469.0
417,10,libxslt,cmplog_dict,007,13726.0
418,11,libxslt,cmplog_dict,007,13947.0
419,12,libxslt,cmplog_dict,007,14133.0
420,13,libxslt,cmplog_dict,007,14301.0
421,14,libxslt,cmplog_dict,007,14457.0
422,15,libxslt,cmplog_dict,007,14588.0
423,16,libxslt,cmplog_dict,007,14682.0
424,17,libxslt,cmplog_dict,007,14834.0
425,18,libxslt,cmplog_dict,007,14971.0
426,19,libxslt,cmplog_dict,007,15078.0
427,20,libxslt,cmplog_dict,007,15230.0
428,21,libxslt,cmplog_dict,007,15323.0
429,22,libxslt,cmplog_dict,007,15434.0
430,23,libxslt,cmplog_dict,007,15517.0
431,24,libxslt,cmplog_dict,007,15609.0
432,1,libxslt,cmplog_dict,001,9218.0
433,2,libxslt,cmplog_dict,001,10568.0
434,3,libxslt,cmplog_dict,001,11294.0
435,4,libxslt,cmplog_dict,001,11823.0
436,5,libxslt,cmplog_dict,001,12319.0
437,6,libxslt,cmplog_dict,001,12710.0
438,7,libxslt,cmplog_dict,001,13039.0
439,8,libxslt,cmplog_dict,001,13346.0
440,9,libxslt,cmplog_dict,001,13618.0
441,10,libxslt,cmplog_dict,001,13828.0
442,11,libxslt,cmplog_dict,001,13984.0
443,12,libxslt,cmplog_dict,001,14157.0
444,13,libxslt,cmplog_dict,001,14331.0
445,14,libxslt,cmplog_dict,001,14507.0
446,15,libxslt,cmplog_dict,001,14645.0
447,16,libxslt,cmplog_dict,001,14919.0
448,17,libxslt,cmplog_dict,001,15055.0
449,18,libxslt,cmplog_dict,001,15150.0
450,19,libxslt,cmplog_dict,001,15244.0
451,20,libxslt,cmplog_dict,001,15359.0
452,21,libxslt,cmplog_dict,001,15439.0
453,22,libxslt,cmplog_dict,001,15538.0
454,23,libxslt,cmplog_dict,001,15601.0
455,24,libxslt,cmplog_dict,001,15681.0
456,1,libxslt,cmplog_dict,000,9230.0
457,2,libxslt,cmplog_dict,000,10250.0
458,3,libxslt,cmplog_dict,000,10909.0
459,4,libxslt,cmplog_dict,000,11413.0
460,5,libxslt,cmplog_dict,000,11839.0
461,6,libxslt,cmplog_dict,000,12378.0
462,7,libxslt,cmplog_dict,000,12670.0
463,8,libxslt,cmplog_dict,000,12982.0
464,9,libxslt,cmplog_dict,000,13193.0
465,10,libxslt,cmplog_dict,000,13399.0
466,11,libxslt,cmplog_dict,000,13570.0
467,12,libxslt,cmplog_dict,000,13731.0
468,13,libxslt,cmplog_dict,000,13918.0
